epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.25599945829594495,0.04663682062787154,0.985573971761817,0.9815210603593313
2,0.06329447256691982,0.05228480187452245,0.9840392879066913,0.9798647829903768
3,0.05250966591223012,0.033199834209344276,0.9897176181706568,0.9867087572724428
4,0.043324689370228826,0.02972395666657694,0.9895641497851443,0.9864987001859599
5,0.043142880907470385,0.0505744013892449,0.9860343769183548,0.9814267302780388
6,0.03770126884116719,0.049880926964228245,0.9831184775936157,0.9781889470627751
7,0.03920207415476753,0.030317966623980428,0.9904849600982197,0.9856095284479377
8,0.03595787927096284,0.044227264681745246,0.9877225291589933,0.9834838882748578
9,0.03191964245238038,0.018942431171274327,0.9955494168201351,0.9939989775541936
10,0.031775889464183776,0.03836292004186438,0.9883364027010436,0.986712465591552
11,0.0351083597642256,0.04063375719964157,0.9871086556169429,0.9847389718344642
12,0.02893888729821788,0.025453574391753123,0.9927869858809085,0.9895129252865569
13,0.02634496510599784,0.03838793005842311,0.9872621240024555,0.9829645834260287
14,0.02764570231347449,0.025904808942247993,0.9917127071823204,0.9888278552062022
15,0.03010101470828995,0.031029635356416715,0.9897176181706568,0.9832607747647755
